uuid,page_Freq,note_freq,hint_count,consistency_score,response_patterns_score,intervals_score,Label
00417170-6bbb-4b15-aa8c-55bced1f40a3,48,0,6,8,0,2,
00d442f3-da9c-48f8-a074-f196a28a3813,23,24,0,19,14,2,
0146fb06-399e-4e1c-a7ee-30af7af4518f,45,0,0,8,5,13,
015e7fac-4cb2-44b4-bae4-a43455f02df2,81,33,4,54,28,8,
01916b76-790c-4150-accc-f43f4f0ab9c4,81,0,0,28,0,-1,
01a6eefd-0394-495d-b66e-0c1d050aa143,18,3,1,3,2,1,
01f1df7c-cda2-455d-8b75-4495edc9a916,26,0,7,53,5,10,
0430f432-cbbd-402f-be12-a902837c55f5,8,0,1,8,0,1,
073daf5e-ebbd-4d46-b45e-23fe549e3f3a,77,0,4,44,2,7,
08d7e84d-c64c-4279-8e14-bf2b006791bd,32,25,0,19,8,2,
0c1811b5-4cd9-416d-84b1-cf69464d9645,19,0,0,28,1,7,
0fa1e206-c0ec-47a9-98b4-da881510a7a5,3,0,0,10,6,5,
1063c2f5-701f-4a61-b086-cbeb384ee8c7,45,0,1,11,1,1,
11368a7d-8278-4419-883c-d569d93cf355,11,23,1,18,13,1,
11a8717e-2fd8-4dbb-b06f-03ce80d36157,38,11,6,34,-1,7,
13a92ab5-2a8d-4173-9d98-2684cc1cc95c,10,0,0,-2,0,2,
1504bbe9-c686-4be6-bdaf-130e39878ce5,310,0,0,194,0,10,
18824257-9d51-4ca5-b71e-cbf1f26471e3,122,0,0,49,6,11,
197462ec-c52b-44d3-b165-46b30dfb344e,80,0,6,-1,0,-1,
19760ac7-17d5-408e-bed3-356d857670e2,18,0,4,8,0,0,
1ce92c93-f738-4027-bda8-c87a627d89b9,7,0,1,11,3,7,
1ec5581a-d408-4457-a8b9-65c7689e7a2c,30,2,8,28,14,10,
1f31a580-f48c-46e8-861b-7a1de9f285ee,48,4,0,20,1,2,
1ff8b527-12f4-4d6c-8920-f0999594a344,13,0,0,7,0,0,
2150de50-793e-4327-a8b0-0136a608e2b3,5,5,0,9,1,1,
21f7c5fd-9c1c-4e41-96bc-55aec31c0429,82,0,1,24,1,1,
21f87654-837a-40a2-869c-9ec2c9b42e22,12,29,0,30,21,1,
26a572ff-f739-42da-aff7-b324a1a39f76,3,0,0,-4,2,-1,
26dfef3c-e787-4ac2-9ad7-eab8f4596a3a,12,23,1,24,0,0,
2763e1ef-7841-4465-a906-c280639ac053,17,0,2,11,5,2,
278f639d-c67c-452d-a9ec-73c4dbfcb866,8,2,2,4,0,0,
29afeddf-92de-4e32-adcc-9a4ef526d197,25,0,6,11,0,0,
29db4ca9-fb0d-4ffe-a555-b63c1f3ec769,71,18,2,12,10,1,
2da24708-d768-4479-9999-38bfc1515e04,128,0,0,20,2,4,
2dd6f89b-eb45-4137-a82c-de4bdf05214d,156,5,4,83,1,2,
2e28730c-631e-456a-b211-1f25cd317383,14,2,0,0,0,0,
2eb30788-603a-4e8a-9123-27dd61ef66aa,5,0,0,15,5,6,
2f03d389-de50-4c5e-ad06-c8523d672af9,137,4,7,73,-1,3,
2fa3ae95-e214-457e-be28-1bfc154e41a9,46,45,5,38,31,2,
31f723e2-580c-443e-9466-9fdd1d146423,46,0,1,38,0,1,
323d2886-39d9-4b29-8a5b-9ab8794fcfa6,28,2,0,-8,0,0,
33c69bd0-3d26-4841-948d-63ff38b261f6,88,0,46,48,0,2,
33d705ee-d47f-4ab3-8a42-c111b75290b1,32,0,0,4,0,2,
3401638a-1852-485d-b487-5c93aacb9009,128,24,4,44,15,0,
355ebe18-728b-4509-a9e8-0dc688a8866f,23,25,10,36,17,10,
363aebb3-a81b-4650-9ab2-d590b05ca37a,263,0,32,185,0,0,
37a2f788-d82e-4713-9a0d-f2308e9334b4,52,0,2,6,7,10,
383b4fd8-caba-46b3-9540-0f455e516eb8,24,8,1,3,5,0,
3946cccf-a947-4248-b6b0-4b408d546f4d,175,21,8,16,6,2,
3b895b7b-740c-40d7-adf8-66452bcf8e73,112,0,4,-24,0,0,
3c5c2695-cf3c-41d2-9435-eab3246cba3c,267,0,18,85,2,14,
3d2f45de-0712-485d-b9ca-7d66fe528779,41,5,0,-2,0,0,
3db03d6e-82b9-48dd-81c3-f45baf8e590d,8,0,2,-4,0,2,
3dbf5cf1-bbd8-4553-b711-6bf1e05de1df,102,0,0,24,0,0,
3e1f090f-9aca-410e-9bac-d4b5f0060220,10,0,1,13,1,4,
3e7d05c9-239c-48ec-a376-fd0c4f800f75,29,0,1,24,4,4,
3eb0766e-f6f3-4f61-81e2-38d46565eda5,50,0,0,25,4,1,
3efcde41-7edf-490f-b144-4edcea2e8ed6,27,33,10,39,13,1,
